pop_id,spp,gfe_id,sys_nm,geom_mean
51669,CN,948,CHUCKWALLA RIVER,145.8301103
51674,CN,949,CLYAK RIVER,20.42370217
51694,CN,953,MACNAIR CREEK,1
51714,CN,957,KOEYE RIVER,10
51739,CN,962,KWATNA RIVER,190.4575218
51754,CN,965,TALEOMEY RIVER,34.35759677
51759,CN,966,NOEICK RIVER,47.98843273
51773,CN,968,BELLA COOLA RIVER,15422.92252
51784,CN,970,ATNARKO RIVER,13316.77214
51809,CN,975,DEAN RIVER,1992.84574
51819,CN,977,KIMSQUIT RIVER,200.2177316
51854,CN,984,ELCHO CREEK,8.840539154
51984,CN,1010,KAINET CREEK,12.33106037
52004,CN,1014,POISON COVE CREEK,
52009,CN,1015,MUSSEL RIVER,20.37982774
52019,CN,1017,CARTER RIVER,25
52858,CN,1135,DREW CREEK,4.472135955
7549,CN,2250,NUSATSUM RIVER,500
7552,CN,3403,SALLOOMT RIVER,64.20986956
3118,CO,2090,AIRPORT SIDE CHANNEL,13.67845072
3120,CO,2092,GARBAGE DUMP CREEK,14.87249615
3124,CO,2093,GEORGE HALL CREEK,13.52627065
3127,CO,2095,SKIMLETS CREEK,5.849797879
3134,CO,2242,THORSEN CREEK,179.7435811
3136,CO,2243,SNOOKA CREEK,25.37447596
3139,CO,2244,NOOHALK CREEK,72.29867455
3140,CO,2245,NOOKLIKONNIK CREEK,53.30930202
3144,CO,2246,FISH CREEK,60.37853738
3146,CO,2273,MOLLY CREEK,39.36362153
3147,CO,2676,CHARTER CREEK,18.26288356
3148,CO,2677,CROFT CREEK,10.94308456
3149,CO,2678,FORESTRY CREEK,
3150,CO,2680,MARTY'S CREEK,4.835458128
3151,CO,2682,SATO CREEK,23.60433446
3161,CO,3403,SALLOOMT RIVER,428.876841
3164,CO,3455,HAGENSBORG SLOUGH,43.06386798
3172,CO,2769,ROBO'S CREEK,29.15251917
3177,CO,2240,TALCHAKO RIVER,2096.481356
3178,CO,2241,TASTSQUAN CREEK,
3179,CO,2250,NUSATSUM RIVER,287.960579
39762,CO,1436,HEAD CREEK,31.6227766
42701,CO,1821,GULL CREEK,90.40229133
42706,CO,1822,OSMENT CREEK,47.27615679
42711,CO,1823,KWAKWA CREEK,171.0466183
42716,CO,1824,MEYERS PASS CREEK,15.2529084
42721,CO,1825,GORILLA CREEK,47.20437556
42741,CO,1829,LAGOON CREEK,87.95051058
42746,CO,1830,MARY COVE CREEK,67.80689534
42751,CO,1831,WATSON BAY CREEK,75
42756,CO,1832,BOTTLENECK CREEK,22.25948638
42761,CO,1833,JAMES BAY CREEK,73.84286772
42766,CO,1834,CANYON CREEK,3.634241186
42771,CO,1835,GEISH CREEK,75
42776,CO,1836,DUTHIE CREEK,47.86501736
42781,CO,1837,WINDY BAY CREEK,21.76112845
42786,CO,1838,CANOONA RIVER,1100.169057
42791,CO,1839,SODA CREEK,70.7166702
42826,CO,1588,LAGOON CREEK,402.1722986
42861,CO,1595,THORSEN CREEK,39.12601205
43241,CO,1809,MCLOUGHLIN CREEK,219.173749
43246,CO,1810,SHIP POINT CREEK,144.2797086
43251,CO,1811,WAHGILAH CREEK,60
43256,CO,1812,SOUND POINT LAGOON CREEK,213.628573
43261,CO,1813,KWAKUSDIS RIVER,320.248726
43266,CO,1814,HAUSER CREEK,12.24744871
43271,CO,1840,LITTLE CREEK,25.53044969
43286,CO,1709,WINDY BAY CREEK,40.12029099
43651,CO,1783,CHIC CHIC CREEK,10
43656,CO,1784,DE COSMOS LAGOON CREEK,10
43661,CO,1785,CRAB HARBOUR CREEK,70.07259184
43666,CO,1786,WATT CREEK,208.806532
43671,CO,1787,KILDIDT CREEK,190.0453039
43681,CO,1789,STEWART CREEK,216.6751805
43701,CO,1793,KISAMEET RIVER,220.0085158
43706,CO,1794,SAGAR CREEK,251.5008766
43716,CO,1796,HOOK NOSE CREEK,360.5960757
43721,CO,1797,FOUR LAKES CREEK,21.31073798
43736,CO,1800,KADJUSDIS RIVER,932.0650968
43741,CO,1801,KUNSOOT RIVER,373.5662464
43746,CO,1802,DREW CREEK,11.18033989
43756,CO,1804,SALLY CREEK,133.3852056
43761,CO,1805,LILIAN CREEK,300
43766,CO,1806,DEER PASS LAGOON CREEKS,70.60878259
43771,CO,1807,WEBSTER LAKE CREEK,38.70109142
43776,CO,1808,KWAKIUTL CREEK,25
43786,CO,1816,BULLEY BAY CREEK,3.464101615
43791,CO,1817,PRICE CREEK,266.3687192
43801,CO,1841,QUIGLEY CREEK,168.9075803
43806,CO,1842,POWLES CREEK,177.3707409
43811,CO,1843,BLEE CREEK,46.52734718
43816,CO,1844,BLOOMFIELD CREEK,147.5126569
43821,CO,1845,FIFER COVE CREEK,5
43826,CO,1846,DALLY CREEK,24.46207469
43871,CO,1850,ARNOUP CREEK,315.5775001
43876,CO,1851,RONALD CREEK,47.01690851
43881,CO,1852,NIAS CREEK,314.5175404
43886,CO,1853,PACKE CREEK,192.3240568
43891,CO,1854,TYLER CREEK,327.4695234
43896,CO,1855,PYNE CREEK,123.7130169
43901,CO,1856,BUSEY CREEK,78.55697946
43906,CO,1857,TRAHEY CREEK,49.55324954
43911,CO,1858,STEEP CREEK,268.2209066
43916,CO,1859,DALLAIN CREEK,295.5933998
43921,CO,1860,TALAMOOSA CREEK,325.5485464
43926,CO,1861,KENT INLET LAGOON CREEK,141.4213562
43931,CO,1862,EVINRUDE CREEK,161.4054238
43936,CO,1863,WALE CREEK,343.4852942
43991,CO,1874,LIMESTONE CREEK,281.3990305
43996,CO,1875,FURY CREEK,203.418479
44001,CO,1876,DON CREEK,181.7751654
44006,CO,1877,LINNEA CREEK,189.8572475
44011,CO,1878,DUFFEY CREEK,234.9835849
44021,CO,1880,KDELMASHAN CREEK,478.8055249
44026,CO,1881,SENTINEL CREEK,333.4979881
44031,CO,1882,CLIFFORD CREEK,589.050459
44036,CO,1883,FLUX CREEK,203.3090217
44041,CO,1884,MCDONALD CREEK,256.6412892
44046,CO,1885,LITTLE KETTLE CREEK,54.77225575
44051,CO,1886,SALMON CREEK,862.0679571
44056,CO,1887,EAGLE CREEK,803.0752205
44061,CO,1888,TRENEMAN CREEK,156.2205744
44066,CO,1889,STANNARD CREEK,275.1005231
44076,CO,1891,WEST CREEK,272.2539462
44176,CO,1911,LAGOON CREEK,25
44181,CO,1912,STEWART CREEK,245.0958938
44406,CO,1957,WEST CREEK,157.3760917
44416,CO,1959,HEAD CREEK,65.17012774
45642,CO,358,ATNARKO SPAWNING CHANNEL,224.5820362
46050,CO,184,STEELHEAD CREEK,93.9948705
46108,CO,201,GREEN RIVER,296.1653808
46139,CO,207,SALMON CREEK,206.5626533
47581,CO,486,PRICE CREEK,24.42021441
47984,CO,30,WEST CREEK,137.1644818
48422,CO,439,LEE CREEK,77.68081265
